author,communityId,publications
H. Tuechler,3346,Revised international prognostic scoring system for myelodysplastic syndromes.
J. Schanz,3347,Revised international prognostic scoring system for myelodysplastic syndromes.
G. Sanz,3348,Revised international prognostic scoring system for myelodysplastic syndromes.
G. Garcia-Manero,3349,Revised international prognostic scoring system for myelodysplastic syndromes.
F. Solé,3350,Revised international prognostic scoring system for myelodysplastic syndromes.
J. Bennett,3351,Revised international prognostic scoring system for myelodysplastic syndromes.
D. Bowen,3352,Revised international prognostic scoring system for myelodysplastic syndromes.
P. Fenaux,3353,Revised international prognostic scoring system for myelodysplastic syndromes.
F. Dreyfus,3354,Revised international prognostic scoring system for myelodysplastic syndromes.
H. Kantarjian,3355,Revised international prognostic scoring system for myelodysplastic syndromes.; The 5th edition of the World Health Organization Classification of Haematolymphoid Tumours: Myeloid and Histiocytic/Dendritic Neoplasms
A. Kuendgen,3356,Revised international prognostic scoring system for myelodysplastic syndromes.
A. Levis,3357,Revised international prognostic scoring system for myelodysplastic syndromes.
L. Malcovati,3358,Revised international prognostic scoring system for myelodysplastic syndromes.
M. Cazzola,3359,Revised international prognostic scoring system for myelodysplastic syndromes.
J. Čermák,3360,Revised international prognostic scoring system for myelodysplastic syndromes.
C. Fonatsch,3361,Revised international prognostic scoring system for myelodysplastic syndromes.
M. L. Le Beau,3362,Revised international prognostic scoring system for myelodysplastic syndromes.
M. Slovak,3363,Revised international prognostic scoring system for myelodysplastic syndromes.
O. Krieger,3364,Revised international prognostic scoring system for myelodysplastic syndromes.
M. Luebbert,3365,Revised international prognostic scoring system for myelodysplastic syndromes.
J. Maciejewski,3366,Revised international prognostic scoring system for myelodysplastic syndromes.
S. Magalhães,3367,Revised international prognostic scoring system for myelodysplastic syndromes.
Y. Miyazaki,3368,Revised international prognostic scoring system for myelodysplastic syndromes.
M. Pfeilstöcker,3369,Revised international prognostic scoring system for myelodysplastic syndromes.
M. Sekeres,3370,Revised international prognostic scoring system for myelodysplastic syndromes.
W. Sperr,3371,Revised international prognostic scoring system for myelodysplastic syndromes.
R. Stauder,3372,Revised international prognostic scoring system for myelodysplastic syndromes.
S. Tauro,3373,Revised international prognostic scoring system for myelodysplastic syndromes.
P. Valent,3374,Revised international prognostic scoring system for myelodysplastic syndromes.
T. Vallespí,3375,Revised international prognostic scoring system for myelodysplastic syndromes.
A. A. van de Loosdrecht,3376,Revised international prognostic scoring system for myelodysplastic syndromes.
U. Germing,3377,Revised international prognostic scoring system for myelodysplastic syndromes.; The 5th edition of the World Health Organization Classification of Haematolymphoid Tumours: Myeloid and Histiocytic/Dendritic Neoplasms
D. Haase,3378,Revised international prognostic scoring system for myelodysplastic syndromes.
H. Berman,3379,Announcing the worldwide Protein Data Bank
K. Henrick,3380,Announcing the worldwide Protein Data Bank
Haruki Nakamura,3381,Announcing the worldwide Protein Data Bank
I. Modlin,3382,"A 5‐decade analysis of 13,715 carcinoid tumors"
K. Lye,3383,"A 5‐decade analysis of 13,715 carcinoid tumors"
M. Kidd,3384,"A 5‐decade analysis of 13,715 carcinoid tumors"
D. Rossi,3385,The biology of chemokines and their receptors.
A. Zlotnik,3386,The biology of chemokines and their receptors.
C. Homer,3387,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information; Completion of the 2006 National Land Cover Database for the conterminous United States.; Development of a 2001 National land-cover database for the United States
J. Dewitz,3388,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information; Completion of the 2006 National Land Cover Database for the conterminous United States.
Limin Yang,3389,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information; Development of a global land cover characteristics database and IGBP DISCover from 1 km AVHRR data; Completion of the 2006 National Land Cover Database for the conterminous United States.; Development of a 2001 National land-cover database for the United States
Suming Jin,3390,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information; Completion of the 2006 National Land Cover Database for the conterminous United States.
P. Danielson,3391,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information
G. Xian,3392,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information; Completion of the 2006 National Land Cover Database for the conterminous United States.
J. Coulston,3393,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information
N. Herold,3394,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information; Completion of the 2006 National Land Cover Database for the conterminous United States.
J. Wickham,3395,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information; Completion of the 2006 National Land Cover Database for the conterminous United States.
K. Megown,3396,Completion of the 2011 National Land Cover Database for the Conterminous United States – Representing a Decade of Land Cover Change Information
N. Chawla,3397,Discovering Knowledge in Data: An Introduction to Data Mining
C. Liedtke,3398,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
C. Mazouni,3399,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
K. Hess,3400,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
F. André,3401,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
A. Tordai,3402,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
J. Mejia,3403,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
W. Symmans,3404,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
A. González-Angulo,3405,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
B. Hennessy,3406,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
Marjorie C. Green,3407,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
M. Cristofanilli,3408,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
G. Hortobagyi,3409,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
L. Pusztai,3410,Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer.
K. Schuchardt,3411,Basis Set Exchange: A Community Database for Computational Sciences
B. T. Didier,3412,Basis Set Exchange: A Community Database for Computational Sciences
Todd O. Elsethagen,3413,Basis Set Exchange: A Community Database for Computational Sciences
Lisong Sun,3414,Basis Set Exchange: A Community Database for Computational Sciences
V. Gurumoorthi,3415,Basis Set Exchange: A Community Database for Computational Sciences
Jared M. Chase,3416,Basis Set Exchange: A Community Database for Computational Sciences
Jun Yu Li,3417,Basis Set Exchange: A Community Database for Computational Sciences
T. Windus,3418,Basis Set Exchange: A Community Database for Computational Sciences
M. Tamer Özsu,3419,Principles of Distributed Database Systems
P. Valduriez,3420,Principles of Distributed Database Systems
A. Jakalian,3421,"Fast, efficient generation of high‐quality atomic charges. AM1‐BCC model: II. Parameterization and validation"
D. Jack,3422,"Fast, efficient generation of high‐quality atomic charges. AM1‐BCC model: II. Parameterization and validation"
C. Bayly,3423,"Fast, efficient generation of high‐quality atomic charges. AM1‐BCC model: II. Parameterization and validation"
S. Searle,3424,A standard procedure for creating a frailty index
A. Mitnitski,3425,A standard procedure for creating a frailty index; Accumulation of Deficits as a Proxy Measure of Aging
E. Gahbauer,3426,A standard procedure for creating a frailty index
T. Gill,3427,A standard procedure for creating a frailty index
K. Rockwood,3428,A standard procedure for creating a frailty index; Accumulation of Deficits as a Proxy Measure of Aging
Cheng Zhang,3429,A pathology atlas of the human cancer transcriptome; A subcellular map of the human proteome
Sunjae Lee,3430,A pathology atlas of the human cancer transcriptome; A subcellular map of the human proteome
G. Bidkhori,3431,A pathology atlas of the human cancer transcriptome
Rui Benfeitas,3432,A pathology atlas of the human cancer transcriptome
M. Arif,3433,A pathology atlas of the human cancer transcriptome
Zhengtao Liu,3434,A pathology atlas of the human cancer transcriptome
F. Edfors,3435,A pathology atlas of the human cancer transcriptome
Kemal Sanli,3436,A pathology atlas of the human cancer transcriptome
J. Mattsson,3437,A pathology atlas of the human cancer transcriptome
H. Brunnström,3438,A pathology atlas of the human cancer transcriptome
B. Glimelius,3439,A pathology atlas of the human cancer transcriptome
T. Sjöblom,3440,A pathology atlas of the human cancer transcriptome; The Genomic Landscapes of Human Breast and Colorectal Cancers
P. Micke,3441,A pathology atlas of the human cancer transcriptome
R. Chou,3442,Diagnosis and Treatment of Low Back Pain: A Joint Clinical Practice Guideline from the American College of Physicians and the American Pain Society
A. Qaseem,3443,Diagnosis and Treatment of Low Back Pain: A Joint Clinical Practice Guideline from the American College of Physicians and the American Pain Society
V. Snow,3444,Diagnosis and Treatment of Low Back Pain: A Joint Clinical Practice Guideline from the American College of Physicians and the American Pain Society
D. Casey,3445,Diagnosis and Treatment of Low Back Pain: A Joint Clinical Practice Guideline from the American College of Physicians and the American Pain Society
J. Cross,3446,Diagnosis and Treatment of Low Back Pain: A Joint Clinical Practice Guideline from the American College of Physicians and the American Pain Society
D. K. Owens,3447,Diagnosis and Treatment of Low Back Pain: A Joint Clinical Practice Guideline from the American College of Physicians and the American Pain Society
Judith Bell,3448,Doing Your Research Project: A Guide for First-time Researchers
S. Waters,3449,Doing Your Research Project: A Guide for First-time Researchers
C. Fleischmann,3450,Assessment of Global Incidence and Mortality of Hospital-treated Sepsis. Current Estimates and Limitations.
